"year","quarter","male","female","total_both_sexes","timepoint_yyyymm","rolling_minimum","quarterly_rate_minus_rolling_minimum","sahm_rule_triggered"
"1999","Q3",7.2,6.6,7,"199909",7,0,FALSE
"1999","Q4",6.4,6.4,6.4,"199912",6.4,0,FALSE
"2000","Q1",6.5,6.4,6.5,"200003",6.4,0.0999999999999996,FALSE
"2000","Q2",6.3,6.3,6.3,"200006",6.3,0,FALSE
"2000","Q3",6.2,5.7,6,"200009",6,0,FALSE
"2000","Q4",6,5.5,5.8,"200012",5.8,0,FALSE
"2001","Q1",5.5,5.4,5.5,"200103",5.5,0,FALSE
"2001","Q2",5.6,5.2,5.4,"200106",5.4,0,FALSE
"2001","Q3",5.2,5.6,5.4,"200109",5.4,0,FALSE
"2001","Q4",5.6,5.5,5.6,"200112",5.4,0.199999999999999,FALSE
"2002","Q1",5.2,5.4,5.3,"200203",5.3,0,FALSE
"2002","Q2",5,5.6,5.3,"200206",5.3,0,FALSE
"2002","Q3",5.4,5.7,5.5,"200209",5.3,0.2,FALSE
"2002","Q4",4.9,5.2,5.1,"200212",5.1,0,FALSE
"2003","Q1",4.7,5.2,5,"200303",5,0,FALSE
"2003","Q2",4.5,5.2,4.8,"200306",4.8,0,FALSE
"2003","Q3",4.2,4.9,4.5,"200309",4.5,0,FALSE
"2003","Q4",4.4,5.2,4.7,"200312",4.5,0.2,FALSE
"2004","Q1",3.7,4.9,4.3,"200403",4.3,0,FALSE
"2004","Q2",3.6,4.8,4.2,"200406",4.2,0,FALSE
"2004","Q3",3.5,4.3,3.9,"200409",3.9,0,FALSE
"2004","Q4",3.4,4.2,3.7,"200412",3.7,0,FALSE
"2005","Q1",3.7,4.1,3.9,"200503",3.7,0.2,FALSE
"2005","Q2",3.8,3.9,3.8,"200506",3.7,0.0999999999999996,FALSE
"2005","Q3",3.4,4.3,3.8,"200509",3.7,0.0999999999999996,FALSE
"2005","Q4",3.2,4.4,3.7,"200512",3.7,0,FALSE
"2006","Q1",3.8,4.4,4.1,"200603",3.7,0.399999999999999,FALSE
"2006","Q2",3.3,4.1,3.7,"200606",3.7,0,FALSE
"2006","Q3",3.6,4.2,3.9,"200609",3.7,0.2,FALSE
"2006","Q4",3.5,4.1,3.8,"200612",3.7,0.0999999999999996,FALSE
"2007","Q1",3.6,4.2,3.9,"200703",3.7,0.2,FALSE
"2007","Q2",3.3,4,3.6,"200706",3.6,0,FALSE
"2007","Q3",3.2,3.9,3.6,"200709",3.6,0,FALSE
"2007","Q4",3.3,3.4,3.4,"200712",3.4,0,FALSE
"2008","Q1",3.6,4,3.8,"200803",3.4,0.4,FALSE
"2008","Q2",3.8,3.8,3.8,"200806",3.4,0.4,FALSE
"2008","Q3",4.1,4,4.1,"200809",3.4,0.7,TRUE
"2008","Q4",4.3,4.6,4.4,"200812",3.8,0.600000000000001,TRUE
"2009","Q1",5.1,4.9,5,"200903",3.8,1.2,TRUE
"2009","Q2",5.6,6,5.8,"200906",4.1,1.7,TRUE
"2009","Q3",6.3,6,6.2,"200909",4.4,1.8,TRUE
"2009","Q4",6.6,6.5,6.6,"200912",5,1.6,TRUE
"2010","Q1",5.6,6.3,5.9,"201003",5.8,0.100000000000001,FALSE
"2010","Q2",6.7,6.5,6.6,"201006",5.9,0.699999999999999,TRUE
"2010","Q3",5.6,6.6,6.1,"201009",5.9,0.199999999999999,FALSE
"2010","Q4",6,6.5,6.2,"201012",5.9,0.3,FALSE
"2011","Q1",5.7,6.4,6,"201103",6,0,FALSE
"2011","Q2",6,6.1,6.1,"201106",6,0.0999999999999996,FALSE
"2011","Q3",5.6,6.3,6,"201109",6,0,FALSE
"2011","Q4",6.1,6,6.1,"201112",6,0.0999999999999996,FALSE
"2012","Q1",6.1,6.7,6.4,"201203",6,0.4,FALSE
"2012","Q2",6.2,6.7,6.4,"201206",6,0.4,FALSE
"2012","Q3",6.6,6.9,6.7,"201209",6.1,0.600000000000001,TRUE
"2012","Q4",6,6.7,6.3,"201212",6.3,0,FALSE
"2013","Q1",5.2,6.5,5.8,"201303",5.8,0,FALSE
"2013","Q2",5.5,6.5,6,"201306",5.8,0.2,FALSE
"2013","Q3",5.5,6.2,5.8,"201309",5.8,0,FALSE
"2013","Q4",5,6.4,5.7,"201312",5.7,0,FALSE
"2014","Q1",5.1,6.1,5.6,"201403",5.6,0,FALSE
"2014","Q2",4.6,6,5.3,"201406",5.3,0,FALSE
"2014","Q3",4.6,6.1,5.3,"201409",5.3,0,FALSE
"2014","Q4",4.8,6.3,5.5,"201412",5.3,0.2,FALSE
"2015","Q1",5.2,5.9,5.5,"201503",5.3,0.2,FALSE
"2015","Q2",4.8,6.3,5.5,"201506",5.3,0.2,FALSE
"2015","Q3",5.2,6.1,5.7,"201509",5.5,0.2,FALSE
"2015","Q4",4.7,5.3,5,"201512",5,0,FALSE
"2016","Q1",5,5.6,5.3,"201603",5,0.3,FALSE
"2016","Q2",4.7,5.5,5.1,"201606",5,0.0999999999999996,FALSE
"2016","Q3",4.7,5.3,5,"201609",5,0,FALSE
"2016","Q4",4.8,5.8,5.3,"201612",5,0.3,FALSE
"2017","Q1",4.3,5.6,4.9,"201703",4.9,0,FALSE
"2017","Q2",4.8,5,4.9,"201706",4.9,0,FALSE
"2017","Q3",4.1,5.4,4.7,"201709",4.7,0,FALSE
"2017","Q4",4,5,4.5,"201712",4.5,0,FALSE
"2018","Q1",3.9,4.8,4.4,"201803",4.4,0,FALSE
"2018","Q2",4.4,4.9,4.6,"201806",4.4,0.199999999999999,FALSE
"2018","Q3",4,4,4,"201809",4,0,FALSE
"2018","Q4",4.4,4.2,4.3,"201812",4,0.3,FALSE
"2019","Q1",3.8,4.5,4.2,"201903",4,0.2,FALSE
"2019","Q2",3.7,4.4,4.1,"201906",4,0.0999999999999996,FALSE
"2019","Q3",3.8,4.4,4.1,"201909",4.1,0,FALSE
"2019","Q4",3.9,4.3,4.1,"201912",4.1,0,FALSE
"2020","Q1",4,4.4,4.2,"202003",4.1,0.100000000000001,FALSE
"2020","Q2",3.6,4.6,4.1,"202006",4.1,0,FALSE
"2020","Q3",4.8,5.6,5.2,"202009",4.1,1.1,TRUE
"2020","Q4",4.5,5.4,4.9,"202012",4.1,0.800000000000001,TRUE
"2021","Q1",4.6,4.7,4.6,"202103",4.1,0.5,TRUE
"2021","Q2",3.8,4.2,4,"202106",4,0,FALSE
"2021","Q3",3.3,3.3,3.3,"202109",3.3,0,FALSE
"2021","Q4",3,3.4,3.2,"202112",3.2,0,FALSE
"2022","Q1",3.1,3.4,3.2,"202203",3.2,0,FALSE
"2022","Q2",3.1,3.6,3.3,"202206",3.2,0.0999999999999996,FALSE
"2022","Q3",2.9,3.7,3.3,"202209",3.2,0.0999999999999996,FALSE
"2022","Q4",3.3,3.5,3.4,"202212",3.2,0.2,FALSE
"2023","Q1",3.2,3.6,3.4,"202303",3.3,0.1,FALSE
"2023","Q2",3.4,3.9,3.6,"202306",3.3,0.3,FALSE
"2023","Q3",3.7,4.1,3.9,"202309",3.4,0.5,TRUE
"2023","Q4",3.7,4.3,4,"202312",3.4,0.6,TRUE
"2024","Q1",4,4.8,4.3,"202403",3.6,0.7,TRUE
